"ID"	"Sample"	"Cluster"	"CellType"	"Sample_celltype"
"cd36ko_0_Adipocytes"	"cd36ko"	"0"	"Adipocytes"	"0_Adipocytes"
"cd36ko_0_B cells"	"cd36ko"	"0"	"B cells"	"0_B cells"
"cd36ko_0_Erythrocytes"	"cd36ko"	"0"	"Erythrocytes"	"0_Erythrocytes"
"cd36ko_0_Fibroblasts"	"cd36ko"	"0"	"Fibroblasts"	"0_Fibroblasts"
"cd36ko_0_Hepatocytes"	"cd36ko"	"0"	"Hepatocytes"	"0_Hepatocytes"
"cd36ko_0_Monocytes"	"cd36ko"	"0"	"Monocytes"	"0_Monocytes"
"cd36ko_0_Neurons"	"cd36ko"	"0"	"Neurons"	"0_Neurons"
"cd36ko_0_NK cells"	"cd36ko"	"0"	"NK cells"	"0_NK cells"
"cd36ko_0_T cells"	"cd36ko"	"0"	"T cells"	"0_T cells"
"cd36ko_1_Dendritic cells"	"cd36ko"	"1"	"Dendritic cells"	"1_Dendritic cells"
"cd36ko_1_Erythrocytes"	"cd36ko"	"1"	"Erythrocytes"	"1_Erythrocytes"
"cd36ko_1_Monocytes"	"cd36ko"	"1"	"Monocytes"	"1_Monocytes"
"cd36ko_1_Neurons"	"cd36ko"	"1"	"Neurons"	"1_Neurons"
"cd36ko_1_NK cells"	"cd36ko"	"1"	"NK cells"	"1_NK cells"
"cd36ko_1_T cells"	"cd36ko"	"1"	"T cells"	"1_T cells"
"cd36ko_10_B cells"	"cd36ko"	"10"	"B cells"	"10_B cells"
"cd36ko_10_Monocytes"	"cd36ko"	"10"	"Monocytes"	"10_Monocytes"
"cd36ko_10_NK cells"	"cd36ko"	"10"	"NK cells"	"10_NK cells"
"cd36ko_10_T cells"	"cd36ko"	"10"	"T cells"	"10_T cells"
"cd36ko_11_B cells"	"cd36ko"	"11"	"B cells"	"11_B cells"
"cd36ko_11_Dendritic cells"	"cd36ko"	"11"	"Dendritic cells"	"11_Dendritic cells"
"cd36ko_11_Monocytes"	"cd36ko"	"11"	"Monocytes"	"11_Monocytes"
"cd36ko_11_NK cells"	"cd36ko"	"11"	"NK cells"	"11_NK cells"
"cd36ko_11_T cells"	"cd36ko"	"11"	"T cells"	"11_T cells"
"cd36ko_2_Macrophages"	"cd36ko"	"2"	"Macrophages"	"2_Macrophages"
